"id","youth","ethnicity","village","item","item_name","item_index","y"
"24102",2,2,"Mankanza",49,"mangbele_lg",8,2
"24102",2,2,"Mankanza",59,"sardines_sm",3,3
"24102",2,2,"Mankanza",63,"cash_lg",6,3
"24102",2,2,"Mankanza",48,"mangbele_sm",7,3
"24102",2,2,"Mankanza",69,"bread_lg",2,2
"24102",2,2,"Mankanza",55,"fish_lg",14,2
"24102",2,2,"Mankanza",19,"biscuit_sm",17,3
"24102",2,2,"Mankanza",54,"duiker_lg",12,1
"24102",2,2,"Mankanza",62,"cash_sm",5,3
"24102",2,2,"Mankanza",66,"cube_lg",16,2
"24102",2,2,"Mankanza",20,"honey_sm",9,1
"24102",2,2,"Mankanza",68,"bread_sm",1,3
"00894",2,2,"Mankanza",51,"honey_lg",10,3
"00894",2,2,"Mankanza",19,"biscuit_sm",17,3
"00894",2,2,"Mankanza",65,"cube_sm",15,2
"00894",2,2,"Mankanza",62,"cash_sm",5,2
"00894",2,2,"Mankanza",20,"honey_sm",9,2
"00894",2,2,"Mankanza",49,"mangbele_lg",8,2
"00894",2,2,"Mankanza",55,"fish_lg",14,2
"00894",2,2,"Mankanza",66,"cube_lg",16,2
"00894",2,2,"Mankanza",69,"bread_lg",2,2
"00894",2,2,"Mankanza",63,"cash_lg",6,2
"00894",2,2,"Mankanza",59,"sardines_sm",3,3
"00894",2,2,"Mankanza",60,"sardines_lg",4,2
"00894",2,2,"Mankanza",68,"bread_sm",1,3
"00894",2,2,"Mankanza",57,"biscuit_lg",18,1
"00894",2,2,"Mankanza",10,"fish_sm",13,3
"00894",2,2,"Mankanza",54,"duiker_lg",12,1
"00894",2,2,"Mankanza",53,"duiker_sm",11,2
"00894",2,2,"Mankanza",48,"mangbele_sm",7,3
"25452",2,2,"Mankanza",49,"mangbele_lg",8,3
"25452",2,2,"Mankanza",55,"fish_lg",14,3
"25452",2,2,"Mankanza",66,"cube_lg",16,2
"25452",2,2,"Mankanza",69,"bread_lg",2,3
"25452",2,2,"Mankanza",63,"cash_lg",6,2
"25452",2,2,"Mankanza",59,"sardines_sm",3,2
"25452",2,2,"Mankanza",60,"sardines_lg",4,3
"25452",2,2,"Mankanza",68,"bread_sm",1,3
"25452",2,2,"Mankanza",57,"biscuit_lg",18,2
"25452",2,2,"Mankanza",10,"fish_sm",13,3
"25452",2,2,"Mankanza",54,"duiker_lg",12,2
"25452",2,2,"Mankanza",53,"duiker_sm",11,3
