"id","youth","ethnicity","village","item","item_name","item_num","y"
"71716",2,2,"Mankanza",7,"mangbele_sm",48,3
"71716",2,2,"Mankanza",6,"cash_lg",63,2
"71716",2,2,"Mankanza",11,"duiker_sm",53,2
"71716",2,2,"Mankanza",15,"cube_sm",65,2
"71716",2,2,"Mankanza",10,"honey_lg",51,2
"71716",2,2,"Mankanza",8,"mangbele_lg",49,1
"31616",2,1,"Mankanza",12,"duiker_lg",54,2
"31616",2,1,"Mankanza",1,"bread_sm",68,2
"31616",2,1,"Mankanza",14,"fish_lg",55,1
"31616",2,1,"Mankanza",17,"biscuit_sm",19,2
"31616",2,1,"Mankanza",5,"cash_sm",62,1
"31616",2,1,"Mankanza",16,"cube_lg",66,1
"31616",2,1,"Mankanza",9,"honey_sm",20,2
"31616",2,1,"Mankanza",18,"biscuit_lg",57,1
"31616",2,1,"Mankanza",10,"honey_lg",51,2
"31616",2,1,"Mankanza",15,"cube_sm",65,3
"31616",2,1,"Mankanza",11,"duiker_sm",53,1
"31616",2,1,"Mankanza",4,"sardines_lg",60,2
"31616",2,1,"Mankanza",8,"mangbele_lg",49,2
"31616",2,1,"Mankanza",3,"sardines_sm",59,2
"31616",2,1,"Mankanza",6,"cash_lg",63,2
"31616",2,1,"Mankanza",13,"fish_sm",10,2
"31616",2,1,"Mankanza",7,"mangbele_sm",48,2
"31616",2,1,"Mankanza",2,"bread_lg",69,2
"11087",2,1,"Mankanza",9,"honey_sm",20,2
"11087",2,1,"Mankanza",13,"fish_sm",10,2
"11087",2,1,"Mankanza",10,"honey_lg",51,1
"11087",2,1,"Mankanza",7,"mangbele_sm",48,2
"11087",2,1,"Mankanza",14,"fish_lg",55,1
"11087",2,1,"Mankanza",17,"biscuit_sm",19,2
"11087",2,1,"Mankanza",5,"cash_sm",62,1
"11087",2,1,"Mankanza",6,"cash_lg",63,1
"11087",2,1,"Mankanza",15,"cube_sm",65,2
"11087",2,1,"Mankanza",16,"cube_lg",66,1
"11087",2,1,"Mankanza",2,"bread_lg",69,1
"11087",2,1,"Mankanza",1,"bread_sm",68,2
"11087",2,1,"Mankanza",12,"duiker_lg",54,1
"11087",2,1,"Mankanza",11,"duiker_sm",53,2
"11087",2,1,"Mankanza",8,"mangbele_lg",49,2
"11087",2,1,"Mankanza",18,"biscuit_lg",57,2
"85669",2,2,"Mankanza",1,"bread_sm",68,3
"85669",2,2,"Mankanza",9,"honey_sm",20,2
"85669",2,2,"Mankanza",16,"cube_lg",66,2
"85669",2,2,"Mankanza",5,"cash_sm",62,3
"85669",2,2,"Mankanza",12,"duiker_lg",54,1
"85669",2,2,"Mankanza",17,"biscuit_sm",19,3
"85669",2,2,"Mankanza",14,"fish_lg",55,1
"85669",2,2,"Mankanza",2,"bread_lg",69,1
"85669",2,2,"Mankanza",7,"mangbele_sm",48,3
"85669",2,2,"Mankanza",6,"cash_lg",63,2
"85669",2,2,"Mankanza",3,"sardines_sm",59,2
"85669",2,2,"Mankanza",8,"mangbele_lg",49,1
"85669",2,2,"Mankanza",4,"sardines_lg",60,1
"85669",2,2,"Mankanza",11,"duiker_sm",53,2
"85669",2,2,"Mankanza",15,"cube_sm",65,2
"85669",2,2,"Mankanza",10,"honey_lg",51,2
"85669",2,2,"Mankanza",18,"biscuit_lg",57,2
"85669",2,2,"Mankanza",13,"fish_sm",10,2
"88952",2,2,"Mankanza",17,"biscuit_sm",19,1
"88952",2,2,"Mankanza",9,"honey_sm",20,1
"88952",2,2,"Mankanza",8,"mangbele_lg",49,1
"88952",2,2,"Mankanza",16,"cube_lg",66,1
"88952",2,2,"Mankanza",1,"bread_sm",68,2
"88952",2,2,"Mankanza",10,"honey_lg",51,1
"88952",2,2,"Mankanza",11,"duiker_sm",53,1
"88952",2,2,"Mankanza",6,"cash_lg",63,1
"88952",2,2,"Mankanza",14,"fish_lg",55,1
"88952",2,2,"Mankanza",7,"mangbele_sm",48,2
"88952",2,2,"Mankanza",13,"fish_sm",10,1
"88952",2,2,"Mankanza",12,"duiker_lg",54,1
"88952",2,2,"Mankanza",5,"cash_sm",62,1
"88952",2,2,"Mankanza",15,"cube_sm",65,1
"88952",2,2,"Mankanza",2,"bread_lg",69,1
"88952",2,2,"Mankanza",18,"biscuit_lg",57,1
"88952",2,2,"Mankanza",3,"sardines_sm",59,1
"88952",2,2,"Mankanza",4,"sardines_lg",60,1
"39931",2,2,"Mankanza",13,"fish_sm",10,3
"39931",2,2,"Mankanza",18,"biscuit_lg",57,2
"39931",2,2,"Mankanza",10,"honey_lg",51,2
"39931",2,2,"Mankanza",15,"cube_sm",65,3
"39931",2,2,"Mankanza",11,"duiker_sm",53,2
"39931",2,2,"Mankanza",4,"sardines_lg",60,2
"39931",2,2,"Mankanza",8,"mangbele_lg",49,2
"39931",2,2,"Mankanza",3,"sardines_sm",59,3
"39931",2,2,"Mankanza",6,"cash_lg",63,3
"39931",2,2,"Mankanza",7,"mangbele_sm",48,3
"39931",2,2,"Mankanza",2,"bread_lg",69,2
"39931",2,2,"Mankanza",14,"fish_lg",55,2
"39931",2,2,"Mankanza",17,"biscuit_sm",19,3
"39931",2,2,"Mankanza",12,"duiker_lg",54,1
"39931",2,2,"Mankanza",5,"cash_sm",62,3
"39931",2,2,"Mankanza",16,"cube_lg",66,2
"39931",2,2,"Mankanza",9,"honey_sm",20,1
"39931",2,2,"Mankanza",1,"bread_sm",68,3
"78828",2,2,"Mankanza",10,"honey_lg",51,3
"78828",2,2,"Mankanza",17,"biscuit_sm",19,3
"78828",2,2,"Mankanza",15,"cube_sm",65,2
"78828",2,2,"Mankanza",5,"cash_sm",62,2
"78828",2,2,"Mankanza",9,"honey_sm",20,2
"78828",2,2,"Mankanza",8,"mangbele_lg",49,2
"78828",2,2,"Mankanza",14,"fish_lg",55,2
"78828",2,2,"Mankanza",16,"cube_lg",66,2
"78828",2,2,"Mankanza",2,"bread_lg",69,2
"78828",2,2,"Mankanza",6,"cash_lg",63,2
"78828",2,2,"Mankanza",3,"sardines_sm",59,3
"78828",2,2,"Mankanza",4,"sardines_lg",60,2
"78828",2,2,"Mankanza",1,"bread_sm",68,3
"78828",2,2,"Mankanza",18,"biscuit_lg",57,1
"78828",2,2,"Mankanza",13,"fish_sm",10,3
"78828",2,2,"Mankanza",12,"duiker_lg",54,1
"78828",2,2,"Mankanza",11,"duiker_sm",53,2
"78828",2,2,"Mankanza",7,"mangbele_sm",48,3
"13599",2,2,"Mankanza",8,"mangbele_lg",49,3
"13599",2,2,"Mankanza",14,"fish_lg",55,3
"13599",2,2,"Mankanza",16,"cube_lg",66,2
"13599",2,2,"Mankanza",2,"bread_lg",69,3
"13599",2,2,"Mankanza",6,"cash_lg",63,2
"13599",2,2,"Mankanza",3,"sardines_sm",59,2
"13599",2,2,"Mankanza",4,"sardines_lg",60,3
"13599",2,2,"Mankanza",1,"bread_sm",68,3
"13599",2,2,"Mankanza",18,"biscuit_lg",57,2
"13599",2,2,"Mankanza",13,"fish_sm",10,3
"13599",2,2,"Mankanza",12,"duiker_lg",54,2
"13599",2,2,"Mankanza",11,"duiker_sm",53,3
"13599",2,2,"Mankanza",5,"cash_sm",62,3
"13599",2,2,"Mankanza",9,"honey_sm",20,3
"13599",2,2,"Mankanza",17,"biscuit_sm",19,3
"13599",2,2,"Mankanza",10,"honey_lg",51,3
"13599",2,2,"Mankanza",7,"mangbele_sm",48,3
"13599",2,2,"Mankanza",15,"cube_sm",65,2
"16941",2,2,"Mankanza",1,"bread_sm",68,3
"16941",2,2,"Mankanza",13,"fish_sm",10,2
"16941",2,2,"Mankanza",18,"biscuit_lg",57,1
"16941",2,2,"Mankanza",10,"honey_lg",51,1
"16941",2,2,"Mankanza",15,"cube_sm",65,3
"16941",2,2,"Mankanza",11,"duiker_sm",53,2
"16941",2,2,"Mankanza",4,"sardines_lg",60,1
"16941",2,2,"Mankanza",8,"mangbele_lg",49,1
"16941",2,2,"Mankanza",3,"sardines_sm",59,3
"16941",2,2,"Mankanza",6,"cash_lg",63,2
"16941",2,2,"Mankanza",7,"mangbele_sm",48,3
"16941",2,2,"Mankanza",2,"bread_lg",69,1
"16941",2,2,"Mankanza",14,"fish_lg",55,1
"16941",2,2,"Mankanza",17,"biscuit_sm",19,3
"16941",2,2,"Mankanza",12,"duiker_lg",54,2
"16941",2,2,"Mankanza",5,"cash_sm",62,3
"16941",2,2,"Mankanza",16,"cube_lg",66,1
"16941",2,2,"Mankanza",9,"honey_sm",20,2
"92859",2,2,"Mankanza",1,"bread_sm",68,3
"92859",2,2,"Mankanza",13,"fish_sm",10,1
"92859",2,2,"Mankanza",9,"honey_sm",20,1
"92859",2,2,"Mankanza",16,"cube_lg",66,1
"92859",2,2,"Mankanza",5,"cash_sm",62,2
"92859",2,2,"Mankanza",12,"duiker_lg",54,1
"92859",2,2,"Mankanza",17,"biscuit_sm",19,3
"92859",2,2,"Mankanza",14,"fish_lg",55,1
"92859",2,2,"Mankanza",2,"bread_lg",69,1
"92859",2,2,"Mankanza",7,"mangbele_sm",48,2
"92859",2,2,"Mankanza",6,"cash_lg",63,2
"92859",2,2,"Mankanza",11,"duiker_sm",53,2
"92859",2,2,"Mankanza",15,"cube_sm",65,3
"92859",2,2,"Mankanza",10,"honey_lg",51,2
"92859",2,2,"Mankanza",8,"mangbele_lg",49,2
"92859",2,2,"Mankanza",18,"biscuit_lg",57,1
"92859",2,2,"Mankanza",3,"sardines_sm",59,2
"92859",2,2,"Mankanza",4,"sardines_lg",60,1
"11609",2,1,"Mankanza",12,"duiker_lg",54,1
"11609",2,1,"Mankanza",1,"bread_sm",68,1
"11609",2,1,"Mankanza",14,"fish_lg",55,1
"11609",2,1,"Mankanza",17,"biscuit_sm",19,3
"11609",2,1,"Mankanza",5,"cash_sm",62,2
"11609",2,1,"Mankanza",16,"cube_lg",66,2
"11609",2,1,"Mankanza",9,"honey_sm",20,2
"11609",2,1,"Mankanza",18,"biscuit_lg",57,2
"11609",2,1,"Mankanza",10,"honey_lg",51,1
"11609",2,1,"Mankanza",15,"cube_sm",65,3
"11609",2,1,"Mankanza",11,"duiker_sm",53,1
"11609",2,1,"Mankanza",4,"sardines_lg",60,1
"11609",2,1,"Mankanza",8,"mangbele_lg",49,1
"11609",2,1,"Mankanza",3,"sardines_sm",59,1
"11609",2,1,"Mankanza",6,"cash_lg",63,2
"11609",2,1,"Mankanza",13,"fish_sm",10,2
"11609",2,1,"Mankanza",7,"mangbele_sm",48,2
"11609",2,1,"Mankanza",2,"bread_lg",69,2
"91460",2,1,"Mankanza",7,"mangbele_sm",48,3
"91460",2,1,"Mankanza",11,"duiker_sm",53,2
"91460",2,1,"Mankanza",12,"duiker_lg",54,1
"91460",2,1,"Mankanza",13,"fish_sm",10,3
"91460",2,1,"Mankanza",18,"biscuit_lg",57,2
"91460",2,1,"Mankanza",1,"bread_sm",68,2
"91460",2,1,"Mankanza",4,"sardines_lg",60,2
"91460",2,1,"Mankanza",3,"sardines_sm",59,3
"91460",2,1,"Mankanza",6,"cash_lg",63,3
"91460",2,1,"Mankanza",2,"bread_lg",69,1
"91460",2,1,"Mankanza",16,"cube_lg",66,2
"91460",2,1,"Mankanza",14,"fish_lg",55,2
"91460",2,1,"Mankanza",8,"mangbele_lg",49,2
"91460",2,1,"Mankanza",9,"honey_sm",20,2
"91460",2,1,"Mankanza",5,"cash_sm",62,3
"91460",2,1,"Mankanza",15,"cube_sm",65,2
"91460",2,1,"Mankanza",17,"biscuit_sm",19,2
